video_id,track_id,class_name,first_frame,last_frame,num_frames,start_cx,start_cy,end_cx,end_cy,total_displacement_px,total_displacement_norm,dx_total,dy_total,avg_bbox_area,start_area,end_area,bbox_growth_ratio,second_half_growth_ratio,peak_area_ratio,avg_flow_dx,avg_flow_dy,avg_flow_mag,avg_global_flow_dx,avg_global_flow_dy,avg_global_flow_mag,avg_frame_diff_overlap,preliminary_motion_label,preliminary_direction_label,preliminary_scale_label
IMG_4990,bicycle_1,bicycle,2,5,4,448.9267578125,849.3634643554688,529.6015625,852.171875,80.72367237505111,0.04121855901648276,80.6748046875,2.80841064453125,3841.5293579101562,3039.786865234375,3633.02880859375,0.19515905866593564,-0.1618957644765931,1.1996834056175216,5.823714971542358,-6.645266532897949,15.518871784210205,3.7814574716612697,0.6589708115279791,3.8384454067276614,0.4966533753494605,moving,left_to_right,growing
IMG_4990,bicycle_2,bicycle,10,10,1,602.7775268554688,880.4382934570312,602.7775268554688,880.4382934570312,0.0,0.0,0.0,0.0,4781.81689453125,4781.81689453125,4781.81689453125,0.0,0.0,1.0,-23.71678924560547,-21.84831428527832,28.607389450073242,-0.35015225410461426,-1.072796106338501,1.1284937247630538,0.6591194968553459,moving,toward_center_or_away,stable
IMG_4990,bicycle_3,bicycle,24,27,4,694.892822265625,905.0750732421875,824.5167236328125,841.3447875976562,144.44343222861986,0.0737546987232805,129.6239013671875,-63.73028564453125,9008.915100097656,3667.230224609375,20052.306640625,4.4679704867160215,1.7202014902659066,0.9999999999501304,-3.6085373163223267,9.538833022117615,14.911755681037903,-1.5102701504947618,0.173405509442091,1.5201925529946336,0.40313366908789544,moving,left_to_right,growing
IMG_4990,bicycle_4,bicycle,25,27,2,676.6995239257812,915.1419067382812,847.070068359375,846.9601440429688,183.50715292554415,0.09370114354641289,170.37054443359375,-68.1817626953125,10887.457275390625,7623.72021484375,14151.1943359375,0.8562058858781619,0.0,1.0,-0.1197209358215332,12.815388679504395,16.910582542419434,-3.032209713710472,0.6351392194628716,3.0980151026132923,0.34955067832217634,moving,left_to_right,growing
IMG_4990,person_1,person,0,9,9,491.79547119140625,896.3734130859375,626.985595703125,873.2343139648438,137.1560704950015,0.0700336768612419,135.19012451171875,-23.13909912109375,10153.192111545139,9851.1064453125,6443.32373046875,-0.3459289302593378,-0.46334634438466954,1.8958310390863284,6.003278679317898,-3.257506397035387,15.834697617424858,2.4962324890722005,0.7472447327163536,2.605676750879113,0.5163544155500129,moving,left_to_right,shrinking
IMG_4990,person_2,person,0,14,15,408.46453857421875,859.788818359375,222.185546875,802.248291015625,194.96352232013675,0.09955091504605029,-186.27899169921875,-57.54052734375,5187.057600911458,2192.69970703125,8750.572265625,2.990775496787857,1.1091463644470687,1.3500139386662418,-1.6267740567525228,-3.642312939961751,18.853266525268555,1.4987286443899697,0.3301010174385738,1.5346511757493877,0.4184875755632279,moving,right_to_left,growing
IMG_4990,person_3,person,4,27,19,536.4814453125,759.1568603515625,846.1896362304688,795.5681762695312,311.84122153518945,0.1592301912864026,309.70819091796875,36.41131591796875,10432.299419202303,800.5679931640625,12842.416015625,15.041630580091827,0.02445334026772698,1.0297498963886864,0.7839172011927554,-2.7158201823109076,16.76925408212762,0.8867487242310553,0.06403372608321278,0.8890577135380493,0.40370318648256687,moving,left_to_right,growing
IMG_4990,person_4,person,5,27,16,433.45416259765625,779.0758056640625,220.7233123779297,802.6936645507812,214.03788892063176,0.10929053518835101,-212.73085021972656,23.61785888671875,5624.004928588867,1572.68505859375,8530.392578125,4.42409462535909,2.773277360807606,1.8114489984392979,3.0964103899896145,2.9758514165878296,17.688384741544724,0.7666879557873472,0.9720093011856079,1.2379872790706352,0.4658306513078992,moving,right_to_left,growing
IMG_4990,person_5,person,8,9,2,842.5828247070312,827.3580322265625,700.715576171875,832.2821044921875,141.95267765918646,0.07248288698336398,-141.86724853515625,4.924072265625,3829.4332275390625,3948.390869140625,3710.4755859375,-0.06025626414100473,0.0,1.0,-3.9709181785583496,13.102382898330688,23.519956588745117,2.1903343200683594,2.117428421974182,3.0464844584952995,0.4382008414539855,moving,right_to_left,stable
IMG_4990,person_6,person,11,17,7,225.0480499267578,792.9722290039062,43.05764389038086,780.0052490234375,182.4517757082655,0.09316225418675962,-181.99040603637695,-12.96697998046875,14031.089634486607,2202.436279296875,18767.3046875,7.521156710136596,-0.4109141679683337,1.6975454943802757,-0.9752069541386196,-9.266582199505397,15.085620335170201,0.016153367568871806,-1.3041392186922687,1.304239254513947,0.35904367248247643,moving,right_to_left,growing
IMG_4990,person_7,person,21,27,7,639.2283935546875,757.2831420898438,813.8177490234375,794.5342407226562,178.5191513321332,0.09115420493468711,174.58935546875,37.2510986328125,11426.837472098214,10469.623046875,9420.453125,-0.10021085927138017,-0.20469242928113435,1.515887140352828,4.318472794124058,11.120522839682442,21.875719342912948,-0.6827081861307046,2.066682555047529,2.1765264185733333,0.4583570618600127,moving,left_to_right,stable
IMG_4990,person_8,person,23,27,4,938.8929443359375,800.415283203125,803.4346923828125,791.5018920898438,135.751193598195,0.06931632841092772,-135.458251953125,-8.91339111328125,6475.55712890625,5030.2734375,5996.1826171875,0.192019219530843,-0.21365900172047492,1.2717129108832044,-4.0654600858688354,-10.01535940170288,15.419461011886597,0.006400988611858338,1.5514786057174206,1.5514918100505979,0.2582207895790592,moving,right_to_left,growing
IMG_4990,skateboard_1,skateboard,13,13,1,297.20379638671875,891.5931396484375,297.20379638671875,891.5931396484375,0.0,0.0,0.0,0.0,2201.075927734375,2201.075927734375,2201.075927734375,0.0,0.0,1.0,-25.611679077148438,11.325663566589355,25.140106201171875,0.9901471138000488,1.3367149829864502,1.663489781365378,0.6132246376811594,moving,toward_center_or_away,stable
